,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
0,11.0,7245.943837306169,8612.513897596073,62405792.0,641.0,7.0
1,10.0,7024.638781155446,7293.362064030987,51233234.0,995.0,8.0
2,7.0,7137.4814643429145,7520.498269334786,53677417.0,603.0,6.0
3,8.0,10579.507106640112,5574.743927624291,58978043.0,835.0,6.0
4,16.0,5915.190316351118,11759.827711327169,69561619.0,913.0,9.0
5,13.0,7824.280231123706,5863.725562576239,45879432.0,605.0,7.0
6,11.0,8580.261222491703,8377.303573413381,71879453.0,677.0,8.0
7,0.0,8180.4338154786765,8923.413555632877,72997394.0,841.0,9.0
8,2.0,5393.583337960681,12139.648707969462,65476207.0,884.0,8.0
9,14.0,6701.490407982583,7482.594161482283,50144533.0,522.0,8.0
10,17.0,6667.557332423472,10813.245751843337,72097936.0,619.0,9.0
11,8.0,9900.715016622698,6399.9518109162345,63364099.0,748.0,5.0
12,1.0,6312.603808096766,6358.133857303016,40136380.0,622.0,9.0
13,2.0,5364.138451708789,11765.702277855058,63112856.0,745.0,6.0
14,10.0,4715.801551029286,11004.23468597263,51893787.0,693.0,9.0
15,5.0,6484.060766148241,7474.561196746805,48465509.0,583.0,7.0
16,7.0,6858.9408741169755,8479.383197407647,58159588.0,761.0,9.0
17,1.0,7039.536384309076,9895.473394422554,69659545.0,653.0,5.0
18,10.0,4680.680480668905,12781.787871888704,59827465.0,654.0,6.0
19,17.0,5009.988755103847,7463.366452052036,37391382.0,529.0,7.0
20,7.0,6377.483729907714,7399.904099901624,47192768.0,892.0,5.0
21,12.0,3654.094050231745,16909.462414105437,61788766.0,609.0,7.0
22,14.0,,,42722874.0,765.0,9.0
23,3.0,6188.3235048281185,9486.153875795233,58703389.0,642.0,6.0
24,4.0,4665.077003632834,10952.454581180878,51094044.0,858.0,5.0
25,10.0,5294.566423784661,8939.576957118752,47331184.0,977.0,9.0
26,15.0,10936.174915022042,6071.9323269772485,66403714.0,605.0,6.0
27,3.0,6494.273148090875,7949.4569789040215,51625945.0,822.0,8.0
28,9.0,4220.373580150128,15373.214661648994,64880709.0,811.0,8.0
29,6.0,7888.206354933221,7593.294889216559,59897477.0,869.0,9.0
30,0.0,7191.093054901979,5200.0830352917355,37394281.0,979.0,5.0
31,9.0,4322.459319738389,9696.010280216258,41910610.0,657.0,7.0
32,4.0,5221.061915018171,9888.808797974254,51630083.0,631.0,8.0
33,12.0,,,65935159.0,900.0,5.0
34,15.0,8212.900447845299,4587.543126726294,37677035.0,801.0,7.0
35,16.0,6128.782917598182,7797.575577816086,47789648.0,780.0,9.0
36,16.0,5626.429112184805,9685.24794562632,54493361.0,862.0,5.0
37,12.0,3510.7798357435963,20177.998426094902,70840510.0,548.0,9.0
38,3.0,5920.600527780386,11706.780194809822,69311169.0,888.0,6.0
39,3.0,5659.142104449352,9655.245263595769,54640405.0,541.0,7.0
40,4.0,5382.222461846004,11831.982503777466,63682362.0,706.0,6.0
41,2.0,5309.159602182484,9239.142289080124,49052081.0,869.0,5.0
42,9.0,4890.781083039126,9178.905217344987,44892016.0,708.0,6.0
