Edge Server IDs,Available CPU,Available GPU Cores,Available Storage,Process ID,Process Name,User ID,Computing Node ID,Processing Percentage,Latency(ms),Is Scheduled?,Packet Data Sizes(bits),Reporting Time(ms)
79,8.000000000000007,,9999900000,1,Data_Processing,1,79,82.88,3.05,N/A,7.125,121
,,,,2,Data_Processing,2,79,88.61,2.24,N/A,4.625,None
,,,,4,Data_Processing,4,79,81.32,2.56,N/A,7.75,None
,,,,5,Data_Processing,5,79,91.93,1.66,N/A,6.125,None
,,,,7,Data_Processing,7,79,82.67,1.86,N/A,8.0,None
,,,,8,Data_Processing,8,79,67.33,2.87,N/A,8.375,None
,,,,9,Data_Processing,9,79,52.07,1.82,N/A,8.375,None
,,,,10,Data_Processing,10,79,66.01,1.93,N/A,5.75,None
,,,,11,Data_Processing,11,79,62.66,2.76,N/A,7.875,None
,,,,14,Data_Processing,14,79,47.26,4.65,N/A,8.625,None
,,,,15,Data_Processing,15,79,63.93,2.01,N/A,8.25,None
,,,,16,Data_Processing,16,79,80.02,2.41,N/A,5.75,None
,,,,18,Data_Processing,18,79,83.28,2.74,N/A,4.75,None
,,,,19,Data_Processing,19,79,72.71,2.34,N/A,5.75,None
,,,,1,Data_Processing,1,79,0.0,3.05,N/A,7.125,None
,,,,2,Data_Processing,2,79,0.0,2.24,N/A,4.625,None
,,,,3,Data_Processing,3,79,22.32,2.13,N/A,5.625,None
,,,,4,Data_Processing,4,79,0.0,2.56,N/A,7.75,None
,,,,5,Data_Processing,5,79,0.0,1.66,N/A,6.125,None
,,,,6,Data_Processing,6,79,25.4,2.01,N/A,5.875,None
,,,,7,Data_Processing,7,79,0.0,1.86,N/A,8.0,None
,,,,8,Data_Processing,8,79,0.0,2.87,N/A,8.375,None
,,,,9,Data_Processing,9,79,0.0,1.82,N/A,8.375,None
,,,,10,Data_Processing,10,79,0.0,1.93,N/A,5.75,None
,,,,11,Data_Processing,11,79,0.0,2.76,N/A,7.875,None
,,,,14,Data_Processing,14,79,0.0,4.65,N/A,8.625,None
,,,,15,Data_Processing,15,79,0.0,2.01,N/A,8.25,None
,,,,16,Data_Processing,16,79,0.0,2.41,N/A,5.75,None
,,,,18,Data_Processing,18,79,0.0,2.74,N/A,4.75,None
,,,,19,Data_Processing,19,79,0.0,2.34,N/A,5.75,None
,,,,1,Data_Processing,1,79,0.0,3.05,N/A,7.125,None
,,,,2,Data_Processing,2,79,0.0,2.24,N/A,4.625,None
,,,,3,Data_Processing,3,79,0.0,2.13,N/A,5.625,None
,,,,4,Data_Processing,4,79,0.0,2.56,N/A,7.75,None
,,,,5,Data_Processing,5,79,0.0,1.66,N/A,6.125,None
,,,,6,Data_Processing,6,79,0.0,2.01,N/A,5.875,None
,,,,7,Data_Processing,7,79,0.0,1.86,N/A,8.0,None
,,,,8,Data_Processing,8,79,0.0,2.87,N/A,8.375,None
,,,,9,Data_Processing,9,79,0.0,1.82,N/A,8.375,None
,,,,10,Data_Processing,10,79,0.0,1.93,N/A,5.75,None
,,,,11,Data_Processing,11,79,0.0,2.76,N/A,7.875,None
,,,,14,Data_Processing,14,79,0.0,4.65,N/A,8.625,None
,,,,15,Data_Processing,15,79,0.0,2.01,N/A,8.25,None
,,,,16,Data_Processing,16,79,0.0,2.41,N/A,5.75,None
,,,,18,Data_Processing,18,79,0.0,2.74,N/A,4.75,None
,,,,19,Data_Processing,19,79,0.0,2.34,N/A,5.75,None
,,,,1,Data_Processing,1,79,0.0,3.05,N/A,7.125,None
,,,,2,Data_Processing,2,79,0.0,2.24,N/A,4.625,None
,,,,3,Data_Processing,3,79,0.0,2.13,N/A,5.625,None
,,,,4,Data_Processing,4,79,0.0,2.56,N/A,7.75,None
,,,,5,Data_Processing,5,79,0.0,1.66,N/A,6.125,None
,,,,6,Data_Processing,6,79,0.0,2.01,N/A,5.875,None
,,,,7,Data_Processing,7,79,0.0,1.86,N/A,8.0,None
,,,,8,Data_Processing,8,79,0.0,2.87,N/A,8.375,None
,,,,9,Data_Processing,9,79,0.0,1.82,N/A,8.375,None
,,,,10,Data_Processing,10,79,0.0,1.93,N/A,5.75,None
,,,,11,Data_Processing,11,79,0.0,2.76,N/A,7.875,None
,,,,14,Data_Processing,14,79,0.0,4.65,N/A,8.625,None
,,,,15,Data_Processing,15,79,0.0,2.01,N/A,8.25,None
,,,,16,Data_Processing,16,79,0.0,2.41,N/A,5.75,None
,,,,18,Data_Processing,18,79,0.0,2.74,N/A,4.75,None
,,,,19,Data_Processing,19,79,0.0,2.34,N/A,5.75,None
,,,,1,Data_Processing,1,79,0.0,3.05,N/A,7.125,None
,,,,2,Data_Processing,2,79,0.0,2.24,N/A,4.625,None
,,,,3,Data_Processing,3,79,0.0,2.13,N/A,5.625,None
,,,,4,Data_Processing,4,79,0.0,2.56,N/A,7.75,None
,,,,5,Data_Processing,5,79,0.0,1.66,N/A,6.125,None
,,,,6,Data_Processing,6,79,0.0,2.01,N/A,5.875,None
,,,,7,Data_Processing,7,79,0.0,1.86,N/A,8.0,None
,,,,8,Data_Processing,8,79,0.0,2.87,N/A,8.375,None
,,,,9,Data_Processing,9,79,0.0,1.82,N/A,8.375,None
,,,,10,Data_Processing,10,79,0.0,1.93,N/A,5.75,None
,,,,11,Data_Processing,11,79,0.0,2.76,N/A,7.875,None
,,,,14,
