,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
0,11.0,29736.841348901267,2.2530974024406785,67.0,892.0,6.0
1,10.0,27891.604516790205,2.1153318721582743,59.0,764.0,5.0
2,7.0,32204.58344071152,2.0183462431571173,65.0,654.0,9.0
3,8.0,40613.27393723261,0.9602771758877182,39.0,624.0,6.0
4,16.0,62623.170164695344,1.1497341928018676,72.0,980.0,8.0
5,13.0,74301.69523012388,0.8344358740130542,62.0,743.0,8.0
6,11.0,37002.14875854501,1.7566547398139782,65.0,563.0,7.0
7,0.0,73418.17194286195,0.7355127289470753,54.0,754.0,9.0
8,2.0,33397.47828005225,1.7965428256850455,60.0,555.0,9.0
9,14.0,80402.43681502614,0.7089337370599128,57.0,908.0,9.0
10,17.0,32939.07529207556,1.9429810774134584,64.0,541.0,9.0
11,8.0,35138.81500374595,1.1952594302204733,42.0,736.0,6.0
12,1.0,29247.082721314157,2.119869547016967,62.0,923.0,8.0
13,2.0,29983.641287931896,1.267357744681084,38.0,820.0,5.0
14,10.0,17659.885093934565,3.850534680056054,68.0,929.0,7.0
15,5.0,77051.83441648216,0.6229572645934607,48.0,516.0,7.0
16,7.0,36846.3159733826,1.1670094788054999,43.0,759.0,5.0
17,1.0,29343.52618323805,2.181060299309182,64.0,911.0,7.0
18,10.0,21652.45353746907,2.4939436958751235,54.0,927.0,7.0
19,17.0,26197.860167090792,1.8703817673457461,49.0,750.0,8.0
