,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
0,11.0,,,42020394.0,915.0,6.0
1,10.0,20708.531260754375,2166.6120805501087,44867354.0,702.0,6.0
2,7.0,23456.014760986327,2371.5312071052304,55626671.0,994.0,8.0
3,8.0,39791.1509344597,1500.9376355655534,59724036.0,608.0,7.0
4,16.0,,,42973682.0,619.0,6.0
5,13.0,74332.76815084105,544.8759007307565,40502134.0,931.0,8.0
6,11.0,27240.72062767085,2242.9141223942756,61098597.0,853.0,8.0
7,0.0,71830.42365130603,975.0218979632399,70036236.0,501.0,6.0
8,2.0,31614.669614081176,1942.3448591931353,61406591.0,700.0,6.0
9,14.0,61517.54838511754,777.1099508179574,47805899.0,842.0,9.0
10,17.0,33194.117871959825,2107.8431507018386,69967994.0,660.0,7.0
11,8.0,35254.91319752178,1111.259777623107,39177367.0,853.0,7.0
12,1.0,29905.5971600673,1362.47705678345,40745690.0,920.0,5.0
13,2.0,28893.56578205088,2311.933234682206,66799995.0,948.0,7.0
14,10.0,13539.317909250187,4380.206181544956,59305004.0,824.0,6.0
15,5.0,78018.09973706111,474.5955762161554,37027045.0,880.0,9.0
16,7.0,24746.799416810503,2763.3539937106625,68384167.0,674.0,6.0
17,1.0,,,73896334.0,801.0,8.0
18,10.0,16398.085306237786,3410.1720997102066,55920293.0,922.0,5.0
19,17.0,28706.953039438973,2497.8916049183526,71706857.0,776.0,7.0
20,7.0,22293.86611292187,3142.039906635977,70048217.0,708.0,5.0
21,12.0,,,64843015.0,567.0,6.0
22,14.0,,,48052937.0,639.0,7.0
23,3.0,35205.67309593016,1202.0473769863002,42318887.0,558.0,5.0
24,4.0,,,52246697.0,826.0,9.0
25,10.0,18974.368943109595,2149.8548975360454,40792140.0,742.0,6.0
26,15.0,,,54650902.0,651.0,6.0
27,3.0,36854.44422794189,1050.9407972739073,38731839.0,894.0,6.0
28,9.0,,,72535710.0,721.0,9.0
29,6.0,70217.57399501676,829.5421172502172,58248435.0,743.0,8.0
