,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
0,11.0,29973.113080186642,1.834977896785672,55.0,888.0,9.0
1,10.0,28711.545476873216,2.438043610588086,70.0,531.0,5.0
2,7.0,32404.871013361568,1.2035227661890415,39.0,836.0,9.0
3,8.0,39913.35039221119,1.5032564144679914,60.0,921.0,5.0
4,16.0,49159.417376628604,1.0577830815529938,52.0,560.0,9.0
5,13.0,75019.26215057402,0.8664441389670832,65.0,753.0,5.0
6,11.0,35586.13347814145,1.0959324935920756,39.0,984.0,7.0
7,0.0,72607.28344685168,0.5922270874033715,43.0,540.0,5.0
8,2.0,31757.247544198723,1.3225327522968022,42.0,663.0,8.0
9,14.0,79644.0390783465,0.904022458343342,72.0,877.0,5.0
10,17.0,38564.62492316052,1.4261774906299942,55.0,596.0,7.0
11,8.0,35506.68241321511,1.492676769493793,53.0,907.0,8.0
12,1.0,30785.904992410615,1.5591550747601226,48.0,768.0,6.0
13,2.0,,,70.0,622.0,8.0
14,10.0,17779.400590621455,2.1935497657087666,39.0,529.0,9.0
15,5.0,77766.1529693772,0.5015035270596121,39.0,776.0,5.0
16,7.0,35920.90083363459,1.8930482928292294,68.0,666.0,6.0
17,1.0,,,66.0,630.0,9.0
18,10.0,21408.83890948536,2.1019355692410944,45.0,771.0,6.0
19,17.0,34391.209356360065,1.2793967069920136,44.0,600.0,5.0
